CODE,ESYMBOL,EXCHANGE,GUSHU,GUSHUBIJIAO,NAME,REPORTDATE,RN,SCSTC27,SHANGQIGUSHU,SHANGQISHIZHI,SHANGQISHULIANG,SHIZHI,SHULIANG,SHULIANGBIJIAO,SNAME,stockid
0600745,600745,CNSESH,54401754,-21818801,,2019-09-30,114,0.07388185,"7,622",2532046837.1000000173006,240,3845659990.2600000387,148,-92,闻泰科技,600745
1002719,002719,CNSESZ,12537526,5375254,,2019-09-30,115,0.07354674,716,82939109.75999999997,9,132396274.5599999976,5,-4,*ST麦趣,002719
1300573,300573,CNSESZ,5901324,-5305512,,2019-09-30,116,0.07313358,"1,121",559071674.199999992,45,445661266.5200000041,14,-31,兴齐眼药,300573
1300601,300601,CNSESZ,49662253,-41840739,,2019-09-30,117,0.07306449,"9,150",4803907080,332,3686925662.71999997934,131,-201,康泰生物,300601
1300015,300015,CNSESZ,290722442,-151675161,,2019-09-30,118,0.07277742,"44,240",13701053764.9099999597943,681,10311925017.580000199563,212,-469,爱尔眼科,300015
1002080,002080,CNSESZ,121562674,32849478,,2019-09-30,119,0.07243964,"8,871",803741555.75999999628456,189,1266683063.0800000009,21,-168,中材科技,002080
1002025,002025,CNSESZ,31005797,-70224666,,2019-09-30,120,0.07227459,"10,123",2467998687.9400000153495,175,804910490.1199999967,26,-149,航天电器,002025
1000333,000333,CNSESZ,501176842,-163169868,,2019-09-30,121,0.07211765,"66,435",34453020380.62000009621013,1430,25610136626.20000011062,685,-745,美的集团,000333
1002311,002311,CNSESZ,116609290,-119687115,,2019-09-30,122,0.0719038,"23,630",7301558914.500000045138199,588,3649870777.0000000176,91,-497,海大集团,002311
1300470,300470,CNSESZ,13774159,-16548617,,2019-09-30,123,0.07173145,"3,032",753217755.839999994832,117,373417450.4899999946,19,-98,中密控股,300470
0600570,600570,CNSESH,74603017,-55185886,,2019-09-30,124,0.07145262,"12,979",8845113739.449999933527426,835,5515401046.809999997442,250,-585,恒生电子,600570
1300383,300383,CNSESZ,108483004,-210744590,,2019-09-30,125,0.07140364,"31,923",5353446751.37999996597108,473,2015614214.3199999823,75,-398,光环新网,300383
1300630,300630,CNSESZ,31056031,-30251684,,2019-09-30,126,0.07137869,"6,131",3532550538.29999994697,233,1586963184.100000008,53,-180,普利制药,300630
1002202,002202,CNSESZ,246132304,-253153540,,2019-09-30,127,0.07131179,"49,929",6206123040.91999997074999,577,3081576446.079999987551,96,-481,金风科技,002202
0603899,603899,CNSESH,65417986,-78214290,,2019-09-30,128,0.07110651,"14,363",6282159175.7200000826099,374,2911475456.1600000277,122,-252,晨光文具,603899
0600114,600114,CNSESH,43407138,-7284885,,2019-09-30,130,0.07077543,"5,069",318852824.67000000634017,76,294300395.6400000014,16,-60,东睦股份,600114
1300124,300124,CNSESZ,116657118,-185406580,,2019-09-30,131,0.07075065,"30,206",6920279321.17999990261478,466,2838267680.9400000016,79,-387,汇川技术,300124
0600276,600276,CNSESH,374304016,7728115,,2019-09-30,132,0.07068024,"36,658",24194009466,1323,30198848010.8799998628427,1150,-173,恒瑞医药,600276
0600694,600694,CNSESH,20395044,-10942264,,2019-09-30,133,0.06943735,"3,134",874624266.280000004507,144,529047441.36000002,4,-140,大商股份,600694
0600004,600004,CNSESH,143380810,-164139878,,2019-09-30,134,0.06928884,"30,752",5596876521.60000015857202,392,3218899184.4999999841,109,-283,白云机场,600004
0600201,600201,CNSESH,77568664,-52086485,,2019-09-30,135,0.06926013,"12,966",2034289287.81000000948795,259,1463720689.680000028368,106,-153,生物股份,600201
1000550,000550,CNSESZ,35515041,-14035857,,2019-09-30,136,0.06850049,"4,955",960791912.2199999900627,97,576764265.8399999893,21,-76,江铃汽车,000550
0600406,600406,CNSESH,200005500,-83251977,,2019-09-30,137,0.06814732,"28,326",5279919371.27999998591351,494,4090112474.99999995697,98,-396,国电南瑞,600406
1002918,002918,CNSESZ,9399521,-2905758,,2019-09-30,139,0.06754058,"1,231",144094817.089999999609,43,131311308.370000001,13,-30,蒙娜丽莎,002918
1002563,002563,CNSESZ,181357489,-51137969,,2019-09-30,140,0.06731679,"23,250",2546470765.47999996722202,259,2241578564.03999998252,41,-218,森马服饰,002563
1300451,300451,CNSESZ,72594463,-81493591,,2019-09-30,141,0.0663926,"15,409",2303616407.3000000013876,181,1264595545.4599999751,55,-126,创业慧康,300451
0600216,600216,CNSESH,63778301,-44426598,,2019-09-30,142,0.06608303,"10,820",1108018165.759999996673,156,730261546.449999984,22,-134,浙江医药,600216
1300661,300661,CNSESZ,10201577,-4126568,,2019-09-30,143,0.06553742,"1,433",1456142815.6700000038936,132,1743953676.2099999779,43,-89,圣邦股份,300661
0603129,603129,CNSESH,8715224,-77618,,2019-09-30,144,0.06500687,879,183154898.86000000206,65,290216959.199999996,15,-50,春风动力,603129
