CINDUSTRY2,CODE,COMPANYCODE,COMPANYNAME,EXCHANGE,ITPROFILE21,ITPROFILE26,ITPROFILE38,NAME,NO,SNAME,STYLE,STYLECODE,SYMBOL
电子,0688519,80166999,南亚新材料科技股份有限公司,CNSESH,23440,021-69178431,,,960,南亚新材,464,801080,688519
医药生物,1300705,80303023,湖南九典制药股份有限公司,CNSESZ,23468,0731-82831002,"www.neeq.com.cn,www.neeq.cc",,961,九典制药,464,801150,300705
化工,1300637,80525185,浙江扬帆新材料股份有限公司,CNSESZ,23475.012999999999,0571-87663663,,,962,扬帆新材,464,801030,300637
计算机,0603881,80366261,上海数据港股份有限公司,CNSESH,23494.799800000001,021-31762188,,,963,数据港,464,801750,603881
计算机,0603918,80277903,上海金桥信息股份有限公司,CNSESH,23504.429,"021-33674997,021-33674396",www.sse.com.cn,,964,金桥信息,464,801750,603918
商业贸易,0600301,10000245,南宁化工股份有限公司,CNSESH,23514.813999999998,"0771-4821093,0771-4835135",www.sse.com.cn,,965,ST南化,464,801200,600301
电气设备,0603988,80199132,中电电机股份有限公司,CNSESH,23520,0510-85628128,www.sse.com.cn,,966,中电电机,464,801730,603988
食品饮料,0603696,80284578,安记食品股份有限公司,CNSESH,23520,0595-22499222,,,967,安记食品,464,801120,603696
医药生物,1300639,80424137,广东凯普生物科技股份有限公司,CNSESZ,23538.184799999999,0768-2852923,,,968,凯普生物,464,801150,300639
电子,1300460,80206079,广东惠伦晶体科技股份有限公司,CNSESZ,23558.387999999999,0769-38879888,www.cninfo.com.cn,,969,惠伦晶体,464,801080,300460
农林牧渔,1002679,80197889,福建金森林业股份有限公司,CNSESZ,23575.599999999999,0598-2359216,www.cninfo.com.cn,,970,福建金森,464,801010,002679
计算机,1300541,80331249,北京先进数通信息技术股份公司,CNSESZ,23580.403300000002,010-68717009,www.cninfo.com.cn,,971,先进数通,464,801750,300541
建筑材料,0600883,10000832,云南博闻科技实业股份有限公司,CNSESH,23608.799999999999,0871-67197370,www.sse.com.cn,,972,博闻科技,464,801710,600883
纺织服装,1002720,80145532,甘肃宏良皮业股份有限公司,CNSESZ,23611.942800000001,0931-8827311,"www.neeq.com.cn,www.neeq.cc",,973,宏良股份,464,801130,002720
电子,1002955,80760950,鸿合科技股份有限公司,CNSESZ,23645.445100000001,010-62968869,,,974,鸿合科技,464,801080,002955
